variable,grupo_a,grupo_b,media_a,media_b,mediana_a,mediana_b,t,p_t,U,p_u,cohen_d,p_t_bonf,p_u_bonf,significativo
valence,edm,r&b,0.4002320007762469,0.536978587987355,0.369,0.547,-30.023949172186573,1.4181302847539187e-189,8116680.5,4.867180246440875e-184,-0.6038991453741478,2.127195427130878e-188,7.300770369661312e-183,True
valence,edm,rap,0.4002320007762469,0.50320246059208,0.369,0.514,-23.170354546891975,7.788797510368576e-116,9894965.0,1.0603550052032392e-117,-0.4554207373520083,1.1683196265552864e-114,1.5905325078048587e-116,True
valence,edm,rock,0.4002320007762469,0.533639128440367,0.369,0.5275000000000001,-28.349311210422346,1.3930131316593768e-169,7605805.0,1.0780989456975957e-162,-0.5839253395494599,2.0895196974890653e-168,1.6171484185463935e-161,True
valence,latin,pop,0.607239754385965,0.5024203832752612,0.63,0.498,22.013531295012086,1.3592809387892772e-104,12424395.0,4.767293664538039e-104,0.4679694882225873,2.0389214081839157e-103,7.150940496807058e-103,True
valence,latin,r&b,0.607239754385965,0.536978587987355,0.63,0.547,14.797311496305456,5.782652005813905e-49,11957618.5,6.510648549396144e-49,0.3119753497373945,8.673978008720857e-48,9.765972824094215e-48,True
valence,latin,rap,0.607239754385965,0.50320246059208,0.63,0.514,22.41058469930034,2.505299441707103e-108,14004007.0,4.84044402966237e-105,0.4625938779326925,3.7579491625606544e-107,7.260666044493555e-104,True
valence,latin,rock,0.607239754385965,0.533639128440367,0.63,0.5275000000000001,15.040468281373215,1.7331615716953238e-50,11074254.0,7.469109711297472e-52,0.32365677014840183,2.5997423575429858e-49,1.1203664566946208e-50,True
valence,pop,r&b,0.5024203832752612,0.536978587987355,0.498,0.547,-7.4396908161909465,1.0984116864250972e-13,9902041.5,2.498769906698646e-14,-0.15398015768779247,1.6476175296376458e-12,3.7481548600479686e-13,True
valence,pop,rap,0.5024203832752612,0.50320246059208,0.498,0.514,-0.17238538427606478,0.8631381732202313,11846825.5,0.4874188842737328,-0.003488854041094631,1.0,1.0,False
valence,pop,rock,0.5024203832752612,0.533639128440367,0.498,0.5275000000000001,-6.512715182753869,7.780454545460852e-11,9263245.5,9.681965816196652e-10,-0.13781949425823298,1.1670681818191279e-09,1.4522948724294978e-08,True
valence,r&b,rap,0.536978587987355,0.50320246059208,0.547,0.514,7.467996521078912,8.832964896497063e-14,13371847.0,5.972109845533702e-13,0.14993410112298583,1.3249447344745596e-12,8.958164768300553e-12,True
valence,r&b,rock,0.536978587987355,0.533639128440367,0.547,0.5275000000000001,0.6985956815252758,0.4848227815155278,10494047.5,0.23140378680049611,0.014667448406562568,1.0,1.0,False
valence,rap,rock,0.50320246059208,0.533639128440367,0.514,0.5275000000000001,-6.510431684617835,7.885260034815572e-11,10580189.5,1.565133016432507e-08,-0.1339329019019706,1.1827890052223358e-09,2.3476995246487602e-07,True
